image_id,Top1_预测,Top2_预测,Top3_预测,真实病名,真实标签ID,是否正确(Top1)
ISIC_0066614,MEL,AK,BCC,BKL,4,NO
ISIC_0035042,SCC,BCC,DF,DF,5,NO
ISIC_0071702,NV,MEL,BKL,MEL,0,NO
ISIC_0035612,NV,BKL,MEL,BKL,4,NO
ISIC_0070277,MEL,NV,BKL,NV,1,NO
ISIC_0072934,NV,MEL,BKL,NV,1,YES
ISIC_0034814,VASC,BCC,SCC,VASC,6,YES
ISIC_0062343,MEL,NV,BCC,NV,1,NO
ISIC_0035439,DF,BKL,NV,DF,5,YES
ISIC_0059410,AK,BCC,BKL,BCC,2,NO
ISIC_0059297,MEL,SCC,AK,MEL,0,YES
ISIC_0061776,BCC,AK,BKL,SCC,7,NO
ISIC_0062433,BKL,BCC,MEL,NV,1,NO
ISIC_0057703,NV,MEL,BKL,NV,1,YES
ISIC_0061268,AK,BKL,BCC,BCC,2,NO
ISIC_0035196,MEL,BKL,NV,MEL,0,YES
ISIC_0035759,DF,BKL,SCC,DF,5,YES
ISIC_0063491,SCC,AK,MEL,SCC,7,YES
ISIC_0067023,BKL,SCC,BCC,BKL,4,YES
ISIC_0062558,SCC,BCC,AK,SCC,7,YES
ISIC_0035580,NV,MEL,BKL,NV,1,YES
ISIC_0057557,NV,MEL,BKL,MEL,0,NO
ISIC_0070377,BCC,NV,AK,SCC,7,NO
ISIC_0062315,BCC,DF,NV,DF,5,NO
ISIC_0065265,NV,BKL,MEL,MEL,0,NO
ISIC_0061122,AK,SCC,BCC,SCC,7,NO
ISIC_0061662,Psoriasis,MEL,NV,BCC,2,NO
ISIC_0072692,BCC,AK,MEL,BKL,4,NO
ISIC_0063570,AK,SCC,BCC,DF,5,NO
ISIC_0035450,VASC,BCC,BKL,BCC,2,NO
ISIC_0054472,SCC,BCC,AK,SCC,7,YES
ISIC_0064243,BKL,AK,MEL,AK,3,NO
ISIC_0035863,DF,NV,MEL,DF,5,YES
ISIC_0035609,NV,MEL,BKL,NV,1,YES
ISIC_0058390,BCC,MEL,NV,BKL,4,NO
ISIC_0035667,BCC,MEL,BKL,BCC,2,YES
ISIC_0056234,AK,BCC,BKL,BCC,2,NO
ISIC_0060815,BCC,AK,SCC,VASC,6,NO
ISIC_0071205,MEL,BCC,BKL,AK,3,NO
ISIC_0057712,AK,BKL,BCC,BCC,2,NO
ISIC_0060767,DF,BCC,SCC,SCC,7,NO
ISIC_0034423,NV,MEL,SCC,NV,1,YES
ISIC_0061711,BCC,AK,DF,NV,1,NO
ISIC_0072288,MEL,NV,BKL,MEL,0,YES
ISIC_0034671,NV,BKL,MEL,NV,1,YES
ISIC_0058525,BCC,AK,VASC,SCC,7,NO
ISIC_0064155,DF,BCC,SCC,BCC,2,NO
ISIC_0058114,AK,SCC,BCC,AK,3,YES
ISIC_0071451,MEL,BKL,SCC,MEL,0,YES
ISIC_0065188,AK,BKL,BCC,AK,3,YES
ISIC_0071047,MEL,BKL,NV,MEL,0,YES
ISIC_0057223,SCC,MEL,BCC,VASC,6,NO
ISIC_0057305,BKL,Pityrasis-Alba,MEL,VASC,6,NO
ISIC_0034543,VASC,NV,BCC,NV,1,NO
ISIC_0035842,MEL,NV,Vitiligo,SCC,7,NO
ISIC_0036005,BKL,MEL,SCC,MEL,0,NO
ISIC_0053901,MEL,NV,BKL,BKL,4,NO
ISIC_0056476,BCC,SCC,AK,AK,3,NO
ISIC_0066927,MEL,SCC,BCC,MEL,0,YES
ISIC_0035643,Psoriasis,AK,BKL,AK,3,NO
ISIC_0060754,BCC,AK,SCC,BCC,2,YES
ISIC_0056986,DF,BCC,AK,DF,5,YES
ISIC_0035677,BKL,DF,NV,DF,5,NO
ISIC_0034752,NV,MEL,BKL,NV,1,YES
ISIC_0068162,BCC,AK,BKL,BCC,2,YES
ISIC_0053925,MEL,NV,BKL,MEL,0,YES
ISIC_0069502,SCC,BCC,AK,SCC,7,YES
ISIC_0056399,DF,BCC,SCC,DF,5,YES
ISIC_0069564,SCC,AK,BCC,SCC,7,YES
ISIC_0058859,NV,MEL,BKL,NV,1,YES
ISIC_0071098,BCC,SCC,DF,VASC,6,NO
ISIC_0057735,BCC,AK,SCC,BCC,2,YES
ISIC_0058354,BCC,MEL,AK,MEL,0,NO
ISIC_0059169,BKL,MEL,BCC,MEL,0,NO
ISIC_0059749,BCC,SCC,AK,SCC,7,NO
ISIC_0063955,SCC,BCC,MEL,BKL,4,NO
ISIC_0035655,AK,BKL,MEL,BKL,4,NO
ISIC_0034970,BKL,NV,MEL,SCC,7,NO
ISIC_0064526,AK,BKL,BCC,AK,3,YES
ISIC_0068446,BCC,SCC,DF,DF,5,NO
ISIC_0035929,MEL,BKL,NV,MEL,0,YES
ISIC_0062638,MEL,VASC,BCC,MEL,0,YES
ISIC_0035318,BKL,SCC,MEL,BKL,4,YES
ISIC_0035944,MEL,SCC,BKL,DF,5,NO
ISIC_0035821,DF,NV,BKL,DF,5,YES
ISIC_0055489,NV,MEL,BKL,NV,1,YES
ISIC_0034706,NV,BKL,MEL,BKL,4,NO
ISIC_0060322,VASC,BCC,AK,VASC,6,YES
ISIC_0067828,BCC,AK,SCC,BCC,2,YES
ISIC_0068039,NV,MEL,BKL,NV,1,YES
ISIC_0035115,NV,DF,BKL,BKL,4,NO
ISIC_0064492,BCC,SCC,VASC,VASC,6,NO
ISIC_0072317,BCC,DF,MEL,BCC,2,YES
ISIC_0055217,NV,MEL,BKL,BKL,4,NO
ISIC_0053775,SCC,BCC,AK,AK,3,NO
ISIC_0064255,BKL,MEL,NV,VASC,6,NO
ISIC_0034579,SCC,BKL,DF,SCC,7,YES
ISIC_0070155,BCC,SCC,AK,SCC,7,NO
ISIC_0035533,NV,BKL,MEL,BKL,4,NO
ISIC_0034731,BKL,NV,AK,NV,1,NO
ISIC_0035179,BKL,AK,SCC,BKL,4,YES
ISIC_0072014,BCC,AK,SCC,BCC,2,YES
ISIC_0053777,AK,BKL,MEL,MEL,0,NO
ISIC_0035577,NV,VASC,DF,NV,1,YES
ISIC_0070697,BCC,AK,SCC,AK,3,NO
ISIC_0059965,MEL,BKL,NV,MEL,0,YES
ISIC_0054540,MEL,BKL,AK,MEL,0,YES
ISIC_0070543,BCC,BKL,NV,BCC,2,YES
ISIC_0035642,SCC,BCC,NV,SCC,7,YES
ISIC_0035194,VASC,BCC,BKL,VASC,6,YES
ISIC_0034879,DF,BCC,BKL,BCC,2,NO
ISIC_0056154,SCC,BCC,AK,SCC,7,YES
ISIC_0066416,SCC,BCC,AK,DF,5,NO
ISIC_0056858,BCC,AK,SCC,SCC,7,NO
ISIC_0034666,NV,MEL,BKL,DF,5,NO
ISIC_0034857,NV,VASC,BCC,NV,1,YES
ISIC_0035016,NV,DF,BKL,NV,1,YES
ISIC_0035338,DF,NV,VASC,DF,5,YES
ISIC_0069138,MEL,BKL,BCC,VASC,6,NO
ISIC_0062769,DF,SCC,MEL,DF,5,YES
ISIC_0059031,AK,BKL,BCC,AK,3,YES
ISIC_0054331,BCC,AK,SCC,BCC,2,YES
ISIC_0068564,MEL,SCC,BCC,MEL,0,YES
ISIC_0061597,BKL,VASC,MEL,VASC,6,NO
ISIC_0058818,NV,MEL,BKL,MEL,0,NO
ISIC_0059991,AK,SCC,BCC,AK,3,YES
ISIC_0066840,AK,SCC,BCC,SCC,7,NO
ISIC_0073029,BCC,VASC,NV,VASC,6,NO
ISIC_0064769,BCC,SCC,AK,AK,3,NO
ISIC_0034914,NV,BCC,VASC,BKL,4,NO
ISIC_0035905,VASC,BCC,DF,VASC,6,YES
ISIC_0068031,VASC,BCC,MEL,BCC,2,NO
ISIC_0035054,DF,NV,BCC,DF,5,YES
ISIC_0062896,AK,BCC,BKL,AK,3,YES
ISIC_0057530,BCC,AK,BKL,BCC,2,YES
ISIC_0058143,BCC,AK,SCC,AK,3,NO
ISIC_0062773,BCC,SCC,BKL,BKL,4,NO
ISIC_0034719,MEL,BCC,BKL,DF,5,NO
ISIC_0035866,BKL,NV,MEL,BKL,4,YES
ISIC_0055211,MEL,BCC,BKL,VASC,6,NO
ISIC_0063125,NV,MEL,BKL,MEL,0,NO
ISIC_0060791,BCC,AK,BKL,BCC,2,YES
ISIC_0035440,NV,BCC,BKL,DF,5,NO
ISIC_0065271,AK,BKL,DF,AK,3,YES
ISIC_0057388,BCC,AK,BKL,AK,3,NO
ISIC_0055516,SCC,DF,BKL,DF,5,NO
ISIC_0035811,MEL,NV,BKL,NV,1,NO
ISIC_0035468,BCC,SCC,MEL,BCC,2,YES
ISIC_0067594,AK,SCC,BCC,AK,3,YES
ISIC_0059458,AK,SCC,BCC,SCC,7,NO
ISIC_0061031,MEL,BKL,NV,MEL,0,YES
ISIC_0064372,BCC,AK,SCC,VASC,6,NO
ISIC_0035064,DF,NV,BCC,DF,5,YES
ISIC_0071055,AK,SCC,BKL,AK,3,YES
ISIC_0062606,AK,MEL,BKL,MEL,0,NO
ISIC_0053882,SCC,BCC,AK,AK,3,NO
ISIC_0061251,BCC,MEL,DF,BCC,2,YES
ISIC_0057472,NV,MEL,BKL,NV,1,YES
ISIC_0064996,VASC,DF,BCC,VASC,6,YES
ISIC_0068636,SCC,AK,MEL,SCC,7,YES
ISIC_0071775,SCC,AK,BKL,SCC,7,YES
ISIC_0034825,BKL,BCC,AK,BKL,4,YES
ISIC_0054293,BKL,BCC,NV,DF,5,NO
ISIC_0071610,AK,BCC,SCC,AK,3,YES
ISIC_0057670,BCC,SCC,AK,SCC,7,NO
ISIC_0057479,NV,MEL,BCC,NV,1,YES
ISIC_0057678,BCC,AK,SCC,SCC,7,NO
ISIC_0055637,AK,SCC,BCC,AK,3,YES
ISIC_0053682,BCC,BKL,AK,BCC,2,YES
ISIC_0056500,BCC,BKL,AK,BKL,4,NO
ISIC_0035156,NV,BCC,BKL,NV,1,YES
ISIC_0053902,BCC,SCC,AK,NV,1,NO
ISIC_0057869,BCC,SCC,AK,BCC,2,YES
ISIC_0060726,BCC,BKL,NV,NV,1,NO
ISIC_0055722,BCC,DF,AK,BCC,2,YES
ISIC_0034911,VASC,NV,BCC,VASC,6,YES
ISIC_0062757,NV,MEL,BCC,NV,1,YES
ISIC_0034411,AK,BKL,MEL,BKL,4,NO
ISIC_0035114,NV,BCC,DF,NV,1,YES
ISIC_0062678,MEL,BKL,NV,MEL,0,YES
ISIC_0057113,MEL,BKL,AK,MEL,0,YES
ISIC_0065139,BCC,SCC,MEL,BCC,2,YES
ISIC_0065225,BCC,AK,BKL,BCC,2,YES
ISIC_0054808,AK,BCC,SCC,AK,3,YES
ISIC_0060294,NV,BKL,VASC,NV,1,YES
ISIC_0035119,AK,BKL,Psoriasis,AK,3,YES
ISIC_0054642,BCC,VASC,NV,VASC,6,NO
ISIC_0053954,NV,VASC,DF,BKL,4,NO
ISIC_0035925,VASC,BCC,NV,VASC,6,YES
ISIC_0059389,BCC,AK,SCC,AK,3,NO
ISIC_0064770,VASC,BCC,DF,BCC,2,NO
ISIC_0060777,BKL,DF,MEL,BCC,2,NO
ISIC_0035008,DF,SCC,BCC,SCC,7,NO
ISIC_0034611,NV,MEL,DF,NV,1,YES
ISIC_0034608,VASC,NV,BCC,VASC,6,YES
ISIC_0035946,MEL,VASC,NV,VASC,6,NO
ISIC_0059290,VASC,NV,BCC,VASC,6,YES
ISIC_0062959,MEL,SCC,BCC,SCC,7,NO
ISIC_0035737,BCC,NV,SCC,VASC,6,NO
ISIC_0059560,VASC,BCC,NV,VASC,6,YES
ISIC_0072532,AK,BKL,SCC,AK,3,YES
ISIC_0064609,AK,BKL,BCC,BKL,4,NO
ISIC_0035982,BKL,MEL,AK,DF,5,NO
ISIC_0034931,NV,MEL,BKL,BKL,4,NO
ISIC_0034766,DF,Psoriasis,BKL,DF,5,YES
